dataset,trainer,seed,base,new,harmonic
eurosat,CoCoOp,1,86.7,44.0,58.3749
eurosat,CoCoOp,2,88.5,75.4,81.4265
eurosat,CoCoOp,3,88.8,69.4,77.9105
eurosat,LiCoCoOp,1,84.2,64.3,72.9166
eurosat,LiCoCoOp,2,88.5,73.0,80.0062
eurosat,LiCoCoOp,3,91.9,74.2,82.1069
eurosat,DuCoCoOp,1,87.7,65.1,74.7287
eurosat,DuCoCoOp,2,82.6,54.4,65.5977
eurosat,DuCoCoOp,3,90.3,62.5,73.8711
fgvc_aircraft,CoCoOp,1,34.6,33.5,34.0411
fgvc_aircraft,CoCoOp,2,35.6,32.2,33.8147
fgvc_aircraft,CoCoOp,3,35.8,32.6,34.1251
fgvc_aircraft,LiCoCoOp,1,33.3,31.7,32.4803
fgvc_aircraft,LiCoCoOp,2,35.1,32.8,33.9110
fgvc_aircraft,LiCoCoOp,3,29.8,6.2,10.2644
fgvc_aircraft,DuCoCoOp,1,36.1,32.0,33.9266
fgvc_aircraft,DuCoCoOp,2,33.4,32.9,33.1481
fgvc_aircraft,DuCoCoOp,3,36.0,32.6,34.2157
